,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Stock Based Compensation,Unrealized Gain Loss On Investment Securities,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Depreciation,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations,frequency
2020-06-30,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,annual
2021-06-30,56118000000.0,-27385000000.0,-3750000000.0,,1693000000.0,-20622000000.0,14224000000.0,13576000000.0,-29000000.0,677000000.0,-48486000000.0,-48486000000.0,-2523000000.0,-16521000000.0,-16521000000.0,-25692000000.0,-27385000000.0,1693000000.0,-3750000000.0,,,,-3750000000.0,-3750000000.0,,-27577000000.0,-27577000000.0,-922000000.0,2876000000.0,65800000000.0,-62924000000.0,-8909000000.0,-8909000000.0,-20622000000.0,-20622000000.0,76740000000.0,76740000000.0,-936000000.0,4633000000.0,5551000000.0,-4391000000.0,489000000.0,489000000.0,2798000000.0,-2309000000.0,-2309000000.0,-737000000.0,-6481000000.0,-6481000000.0,6118000000.0,-1057000000.0,13000000.0,-150000000.0,-150000000.0,11686000000.0,11686000000.0,11686000000.0,-205000000.0,-205000000.0,61271000000.0,annual
2022-06-30,65149000000.0,-32696000000.0,-9023000000.0,0.0,1841000000.0,-23886000000.0,13931000000.0,14224000000.0,-141000000.0,-152000000.0,-58876000000.0,-58876000000.0,-863000000.0,-18135000000.0,-18135000000.0,-30855000000.0,-32696000000.0,1841000000.0,-9023000000.0,0.0,,0.0,-9023000000.0,-9023000000.0,0.0,-30311000000.0,-30311000000.0,-2825000000.0,18438000000.0,44894000000.0,-26456000000.0,-22038000000.0,-22038000000.0,-23886000000.0,-23886000000.0,89035000000.0,89035000000.0,446000000.0,5109000000.0,3169000000.0,-3514000000.0,3639000000.0,3639000000.0,2943000000.0,696000000.0,696000000.0,-1123000000.0,-6834000000.0,-6834000000.0,7502000000.0,-509000000.0,101000000.0,-5702000000.0,-5702000000.0,14460000000.0,14460000000.0,14460000000.0,-1000000.0,-1000000.0,72738000000.0,annual
2023-06-30,59475000000.0,-22245000000.0,-2750000000.0,0.0,1866000000.0,-28107000000.0,34704000000.0,13931000000.0,-194000000.0,20967000000.0,-43935000000.0,-43935000000.0,-1006000000.0,-19800000000.0,-19800000000.0,-20379000000.0,-22245000000.0,1866000000.0,-2750000000.0,0.0,,0.0,-2750000000.0,-2750000000.0,0.0,-22680000000.0,-22680000000.0,-3116000000.0,10213000000.0,47864000000.0,-37651000000.0,-1670000000.0,-1670000000.0,-28107000000.0,-28107000000.0,87582000000.0,87582000000.0,-2388000000.0,5535000000.0,2825000000.0,-4824000000.0,-3079000000.0,-3079000000.0,-2721000000.0,-358000000.0,-358000000.0,1242000000.0,-4087000000.0,-4087000000.0,9611000000.0,-303000000.0,30000000.0,-6059000000.0,-6059000000.0,13861000000.0,13861000000.0,13861000000.0,469000000.0,469000000.0,72361000000.0,annual
2023-09-30,,,,,,,,,,,,,,,,,,,,,,18692000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quarterly
2024-03-31,20965000000.0,-4213000000.0,-11589000000.0,6352000000.0,522000000.0,-10952000000.0,19634000000.0,17305000000.0,-80000000.0,2409000000.0,-18808000000.0,-18808000000.0,-498000000.0,-5572000000.0,-5572000000.0,-3691000000.0,-4213000000.0,522000000.0,-9047000000.0,-3810000000.0,,,-5237000000.0,-11589000000.0,6352000000.0,-10700000000.0,-10700000000.0,-1281000000.0,3108000000.0,5291000000.0,-2183000000.0,-1575000000.0,-1575000000.0,-10952000000.0,-10952000000.0,31917000000.0,31917000000.0,2522000000.0,-645000000.0,2851000000.0,-1186000000.0,3270000000.0,3270000000.0,648000000.0,2622000000.0,2622000000.0,260000000.0,-2028000000.0,-2028000000.0,2703000000.0,7000000.0,17000000.0,-1323000000.0,-1323000000.0,6027000000.0,6027000000.0,6027000000.0,25000000.0,25000000.0,21939000000.0,quarterly
2024-06-30,74071000000.0,-17254000000.0,-29070000000.0,29645000000.0,2002000000.0,-44477000000.0,18315000000.0,34704000000.0,-210000000.0,-16179000000.0,-37757000000.0,-37757000000.0,-1309000000.0,-21771000000.0,-21771000000.0,-15252000000.0,-17254000000.0,2002000000.0,575000000.0,5250000000.0,,5250000000.0,-4675000000.0,-29070000000.0,24395000000.0,-96970000000.0,-96970000000.0,-1298000000.0,17937000000.0,35669000000.0,-17732000000.0,-69132000000.0,-69132000000.0,-44477000000.0,-44477000000.0,118548000000.0,118548000000.0,1824000000.0,5348000000.0,5616000000.0,-8465000000.0,5232000000.0,5232000000.0,3545000000.0,1687000000.0,1687000000.0,1284000000.0,-7191000000.0,-7191000000.0,10734000000.0,-146000000.0,206000000.0,-4738000000.0,-4738000000.0,22287000000.0,22287000000.0,22287000000.0,245000000.0,245000000.0,88136000000.0,annual
2024-09-30,19257000000.0,-4107000000.0,-966000000.0,0.0,706000000.0,-14923000000.0,20840000000.0,18315000000.0,122000000.0,2403000000.0,-16576000000.0,-16576000000.0,-889000000.0,-5574000000.0,-5574000000.0,-3401000000.0,-4107000000.0,706000000.0,-6712000000.0,-5746000000.0,,,-966000000.0,-966000000.0,0.0,-15201000000.0,-15201000000.0,-913000000.0,2484000000.0,4104000000.0,-1620000000.0,-1849000000.0,-1849000000.0,-14923000000.0,-14923000000.0,34180000000.0,34180000000.0,856000000.0,-5553000000.0,-5512000000.0,-1843000000.0,100000000.0,100000000.0,-916000000.0,1016000000.0,1016000000.0,-373000000.0,14037000000.0,14037000000.0,2832000000.0,-412000000.0,7000000.0,-1433000000.0,-1433000000.0,7383000000.0,7383000000.0,7383000000.0,280000000.0,280000000.0,24667000000.0,quarterly
2024-12-31,6487000000.0,-4986000000.0,0.0,0.0,256000000.0,-15804000000.0,17482000000.0,20840000000.0,-294000000.0,-3064000000.0,-11243000000.0,-11243000000.0,-343000000.0,-6170000000.0,-6170000000.0,-4730000000.0,-4986000000.0,256000000.0,0.0,0.0,,,0.0,0.0,0.0,-14112000000.0,-14112000000.0,-16000000.0,3113000000.0,5163000000.0,-2050000000.0,-1405000000.0,-1405000000.0,-15804000000.0,-15804000000.0,22291000000.0,22291000000.0,-11551000000.0,-6338000000.0,3933000000.0,-1442000000.0,-2437000000.0,-2437000000.0,958000000.0,-3395000000.0,-3395000000.0,711000000.0,-5978000000.0,-5978000000.0,3089000000.0,-25000000.0,867000000.0,-1158000000.0,-1158000000.0,6827000000.0,6827000000.0,6827000000.0,134000000.0,134000000.0,24108000000.0,quarterly
2025-03-31,20299000000.0,-4781000000.0,-2250000000.0,0.0,546000000.0,-16745000000.0,28828000000.0,17482000000.0,52000000.0,11294000000.0,-13036000000.0,-13036000000.0,-382000000.0,-6169000000.0,-6169000000.0,-4235000000.0,-4781000000.0,546000000.0,-2250000000.0,0.0,,,-2250000000.0,-2250000000.0,0.0,-12714000000.0,-12714000000.0,604000000.0,4408000000.0,8882000000.0,-4474000000.0,-981000000.0,-981000000.0,-16745000000.0,-16745000000.0,37044000000.0,37044000000.0,2042000000.0,-1032000000.0,2448000000.0,558000000.0,2477000000.0,2477000000.0,1179000000.0,1298000000.0,1298000000.0,52000000.0,-2461000000.0,-2461000000.0,2980000000.0,-135000000.0,24000000.0,-2244000000.0,-2244000000.0,8740000000.0,8740000000.0,8740000000.0,-187000000.0,-187000000.0,25824000000.0,quarterly
